archive,metric,frames,duration_ms,profile_ticks,render_loop_fps,frame_loop_mean_ms,frame_loop_p95_ms,frame_loop_p99_ms,frame_loop_max_ms,heap_mib_min,heap_mib_max,label,pass_number,valid,render_distance,simulation_distance,voxel_radius,cap
2026-09-14_02_10_33-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),1201,10000,1201,120.1,8.312965545378852,8.761667,8.952542,10.022041,621.431640625,1213.2803955078125,before-overview,1,True,16,12,16,260
2026-09-14_02_10_46-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),1201,10001,1201,120.08799120087991,8.322457007493755,8.490208,8.592167,12.497792,589.81640625,1235.43408203125,before-overview,2,True,16,12,16,260
2026-09-14_02_10_59-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),1201,10002,1201,120.07598480303939,8.304211802664446,8.819166,9.004833,14.21475,590.19287109375,1238.3951416015625,before-overview,3,True,16,12,16,260
2026-09-14_02_11_30-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),1201,10004,1201,120.05197920831667,8.321223881765196,8.639833,8.774208,9.572125,667.6961059570312,1277.556396484375,before-lake,1,True,16,12,16,260
2026-09-14_02_11_43-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),1201,10002,1201,120.07598480303939,8.317602587843464,8.662666,8.787209,10.988166,650.1315307617188,1304.869384765625,before-lake,2,True,16,12,16,260
2026-09-14_02_11_57-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),1200,10004,1200,119.95201919232306,8.3279346275,8.650101750000001,8.77459116,10.976292,654.4244995117188,1307.4732666015625,before-lake,3,True,16,12,16,260
2026-09-14_02_13_53-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),4737,10001,4737,473.65263473652635,2.1041929563014565,2.113,6.81964176000012,19.824416,573.0946044921875,1270.0946044921875,radius-only-overview,1,True,16,12,8,260
2026-09-14_02_14_07-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),4679,10000,4679,467.9,2.133543150245779,2.1173916999999998,8.285368260000002,20.300875,561.2518920898438,1298.31591796875,radius-only-overview,2,True,16,12,8,260
2026-09-14_02_14_20-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),4770,10000,4770,477.0,2.093370380293501,2.11811235,6.299992500000234,19.846792,549.2418823242188,1298.5263671875,radius-only-overview,3,True,16,12,8,260
2026-09-14_02_15_51-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),5853,10000,5853,585.3,1.7043278376900735,2.1127,3.383081839999993,21.195875,552.3206787109375,1298.3929443359375,after-overview,1,True,12,8,8,260
2026-09-14_02_16_04-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),5478,10000,5478,547.8,1.819116372033589,2.310900099999999,4.356074499999838,23.553875,533.3812255859375,1298.8603515625,after-overview,2,True,12,8,8,260
2026-09-14_02_16_17-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),5163,10001,5163,516.2483751624837,1.929701500096843,2.3867416999999995,5.305957500000025,21.462208,522.2681274414062,1298.43896484375,after-overview,3,True,12,8,8,260
2026-09-14_02_16_59-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),4073,10000,4073,407.3,2.4526552941320894,2.4512248,8.276985479999999,17.3795,618.5859985351562,1329.57666015625,after-lake,1,True,12,8,8,260
2026-09-14_02_17_12-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),4073,10002,4073,407.21855628874226,2.4509660500859316,2.4496499999999997,8.27375848,18.173125,575.6998291015625,1354.6968994140625,after-lake,2,True,12,8,8,260
2026-09-14_02_17_25-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),4062,10002,4062,406.1187762447511,2.4597122156573117,2.4589024,8.280448249999994,18.876917,576.21875,1365.6470947265625,after-lake,3,True,12,8,8,260
2026-09-14_02_19_07-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),598,10003,598,59.78206538038589,16.693351824414716,17.02564745,17.853835739999997,18.112875,614.4729614257812,1378.9906005859375,metrics-sustained-000,0,True,12,8,8,60
2026-09-14_02_19_27-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),596,10005,596,59.57021489255372,16.759345652684562,17.48759325,18.07244935,18.391333,587.4307861328125,1397.485107421875,metrics-sustained-002,0,True,12,8,8,60
2026-09-14_02_19_47-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),598,10001,598,59.794020597940204,16.69578441973244,17.0131357,17.828416269999998,18.114417,586.068359375,1400.2867431640625,metrics-sustained-004,0,True,12,8,8,60
2026-09-14_02_29_07-Minecrafy_RT_Test-26_2.zip,Minecraft client profiler ticktime (CPU-side frame loop; not presented interval),597,10015,597,59.61058412381428,16.745032087102178,17.471767,17.96145532,18.131875,651.8975830078125,1665.10791015625,metrics-sustained-060,0,True,12,8,8,60
